Date,Price,Return
2015-06-24,3630.25,0.014391332
2015-06-25,3532.05,-0.027423078
2015-06-26,3333.5,-0.057855636
2015-06-29,3219.64,-0.034753251
2015-06-30,3367.2,0.044811986
2015-07-01,3264.8,-0.030883033
2015-07-02,3177.07,-0.027239117
2015-07-03,3058.45,-0.038051137
2015-07-06,3046.78,-0.003822956
2015-07-07,2976.05,-0.023488377
2015-07-08,2798.44,-0.061534799
2015-07-09,2950.58,0.052939642
2015-07-10,3074.03,0.040987643
2015-07-13,3147.19,0.023520587
2015-07-14,3105.34,-0.013386781
2015-07-15,3019.11,-0.028161124
2015-07-16,3046.67,0.009087105
2015-07-17,3136.91,0.029189048
2015-07-20,3144.36,0.002372133
2015-07-21,3165.8,0.006795416
2015-07-22,3142.65,-0.007339395
2015-07-23,3192.72,0.015806825
2015-07-24,3143.41,-0.01556502
2015-07-27,2934.37,-0.068815418
2015-07-28,2907.19,-0.009305801
2015-07-29,2977.58,0.023923911
2015-07-30,2921.05,-0.019167749
2015-07-31,2916.39,-0.001596591
2015-08-03,2899,-0.0059807
2015-08-04,2967.2,0.023252897
2015-08-05,2944.48,-0.007686516
2015-08-06,2927.29,-0.005855151
2015-08-07,2972.69,0.015390186
2015-08-10,3063.13,0.029970002
2015-08-11,3010.45,-0.0173477
2015-08-12,2942.98,-0.022666896
2015-08-13,2978.9,0.012131431
2015-08-14,2981.3,0.000805342
2015-08-17,2986.07,0.001598695
2015-08-18,2848.33,-0.047225284
2015-08-19,2862.97,0.00512669
2015-08-20,2779.89,-0.029448189
2015-08-21,2683.02,-0.035468333
2015-08-24,2481.53,-0.07806772
2015-08-25,2377.96,-0.042632328
2015-08-26,2358.16,-0.008361323
2015-08-27,2483.79,0.051903966
2015-08-28,2544.89,0.024301808
2015-08-31,2544.95,2.36E-05
2015-09-01,2496.55,-0.019201225
2015-09-02,2489.17,-0.002960457
2015-09-03,2489.78,0.000245032
2015-09-04,2480.96,-0.003548771
2015-09-07,2432.99,-0.019524628
